image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0044x2,0.212,0.57,0.26,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.685,0.393,,,,,,,,,,,,,,,,
0045x2,0.231,0.492,0.234,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.538,0.329,,,,,,,,,,,,,,,,
0046x2,0.214,0.495,0.218,0.736842105263158,0.736842105263158,0.736842105263158,0.394,1.381,0.399,,,,,,,,,,,,,,,,
0047x2,0.196,0.545,0.232,0.736842105263158,0.736842105263158,0.736842105263158,0.397,1.525,0.4,,,,,,,,,,,,,,,,
0048x2,0.205,0.535,0.221,0.736842105263158,0.736842105263158,0.736842105263158,0.394,1.499,0.399,,,,,,,,,,,,,,,,
0049x2,0.192,0.519,0.215,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.494,0.385,,,,,,,,,,,,,,,,
0050x2,0.219,0.548,0.246,0.736842105263158,0.736842105263158,0.736842105263158,0.403,1.498,0.432,,,,,,,,,,,,,,,,
0051x2,0.19,0.538,0.208,0.736842105263158,0.736842105263158,0.736842105263158,0.397,1.524,0.391,,,,,,,,,,,,,,,,
0052x2,0.317,0.572,0.398,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.444,0.392,,,,,,,,,,,,,,,,
0053x2,0.199,0.522,0.215,0.736842105263158,0.736842105263158,0.736842105263158,0.394,1.503,0.374,,,,,,,,,,,,,,,,
0054x2,0.208,0.511,0.194,0.736842105263158,0.736842105263158,0.736842105263158,0.399,1.513,0.397,,,,,,,,,,,,,,,,
0055x2,0.215,0.521,0.27,0.736842105263158,0.736842105263158,0.736842105263158,0.386,1.44,0.4,,,,,,,,,,,,,,,,
0056x2,0.197,0.518,0.193,0.736842105263158,0.736842105263158,0.736842105263158,0.403,1.492,0.369,,,,,,,,,,,,,,,,
0057x2,0.204,0.534,0.254,0.736842105263158,0.736842105263158,0.736842105263158,0.402,1.478,0.401,,,,,,,,,,,,,,,,
0058x2,0.213,0.532,0.246,0.736842105263158,0.736842105263158,0.736842105263158,0.411,1.5,0.402,,,,,,,,,,,,,,,,
0059x2,0.212,0.527,0.247,0.736842105263158,0.736842105263158,0.736842105263158,0.387,1.503,0.381,,,,,,,,,,,,,,,,
0060x2,0.219,0.519,0.225,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.47,0.379,,,,,,,,,,,,,,,,
0061x2,0.156,0.49,0.149,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.325,0.381,,,,,,,,,,,,,,,,
0062x2,0.177,0.547,0.214,0.736842105263158,0.736842105263158,0.736842105263158,0.393,1.497,0.418,,,,,,,,,,,,,,,,
0063x2,0.165,0.524,0.073,0.736842105263158,0.736842105263158,0.736842105263158,0.381,1.513,0.32,,,,,,,,,,,,,,,,
0064x2,0.194,0.533,0.226,0.736842105263158,0.736842105263158,0.736842105263158,0.392,1.491,0.407,,,,,,,,,,,,,,,,
0065x2,0.22,0.52,0.233,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.452,0.397,,,,,,,,,,,,,,,,
