image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0046x2,0.205,0.482,0.215,0.736842105263158,0.736842105263158,0.736842105263158,0.381,1.359,0.374,,,,,,,,,,,,,
0047x2,0.2,0.542,0.234,0.736842105263158,0.736842105263158,0.736842105263158,0.392,1.507,0.4,,,,,,,,,,,,,
0048x2,0.207,0.533,0.223,0.736842105263158,0.736842105263158,0.736842105263158,0.382,1.478,0.411,,,,,,,,,,,,,
0049x2,0.183,0.516,0.203,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.48,0.372,,,,,,,,,,,,,
0050x2,0.195,0.536,0.22,0.736842105263158,0.736842105263158,0.736842105263158,0.373,1.456,0.424,,,,,,,,,,,,,
0051x2,0.187,0.533,0.227,0.736842105263158,0.736842105263158,0.736842105263158,0.396,1.536,0.367,,,,,,,,,,,,,
0052x2,0.341,0.58,0.453,0.736842105263158,0.736842105263158,0.736842105263158,0.375,1.364,0.362,,,,,,,,,,,,,
0053x2,0.193,0.524,0.205,0.736842105263158,0.736842105263158,0.736842105263158,0.375,1.516,0.359,,,,,,,,,,,,,
0054x2,0.22,0.485,0.273,0.736842105263158,0.736842105263158,0.736842105263158,0.374,1.456,0.354,,,,,,,,,,,,,
0055x2,0.212,0.517,0.268,0.736842105263158,0.736842105263158,0.736842105263158,0.385,1.421,0.384,,,,,,,,,,,,,
0056x2,0.19,0.517,0.174,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.483,0.362,,,,,,,,,,,,,
0057x2,0.202,0.523,0.244,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.451,0.396,,,,,,,,,,,,,
0058x2,0.209,0.529,0.246,0.736842105263158,0.736842105263158,0.736842105263158,0.4,1.476,0.395,,,,,,,,,,,,,
0059x2,0.218,0.524,0.249,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.49,0.367,,,,,,,,,,,,,
0060x2,0.213,0.514,0.208,0.736842105263158,0.736842105263158,0.736842105263158,0.381,1.449,0.355,,,,,,,,,,,,,
0061x2,0.2,0.48,0.192,0.736842105263158,0.736842105263158,0.736842105263158,0.349,1.319,0.337,,,,,,,,,,,,,
0062x2,0.184,0.557,0.234,0.736842105263158,0.736842105263158,0.736842105263158,0.388,1.479,0.428,,,,,,,,,,,,,
0063x2,0.194,0.475,0.162,0.736842105263158,0.736842105263158,0.736842105263158,0.327,1.366,0.232,,,,,,,,,,,,,
0064x2,0.191,0.529,0.22,0.736842105263158,0.736842105263158,0.736842105263158,0.398,1.497,0.396,,,,,,,,,,,,,
0065x2,0.271,0.528,0.344,0.736842105263158,0.736842105263158,0.736842105263158,0.367,1.442,0.402,,,,,,,,,,,,,
0066x2,0.173,0.52,0.195,0.736842105263158,0.736842105263158,0.736842105263158,0.374,1.462,0.353,,,,,,,,,,,,,
0067x2,0.203,0.53,0.244,0.736842105263158,0.736842105263158,0.736842105263158,0.375,1.444,0.4,,,,,,,,,,,,,
0068x2,0.203,0.532,0.25,0.736842105263158,0.736842105263158,0.736842105263158,0.387,1.52,0.385,,,,,,,,,,,,,
0069x2,0.189,0.454,0.232,0.736842105263158,0.736842105263158,0.736842105263158,0.367,1.239,0.363,,,,,,,,,,,,,
0070x2,0.14,0.484,0.141,0.736842105263158,0.736842105263158,0.736842105263158,0.373,1.42,0.339,,,,,,,,,,,,,
0071x2,0.198,0.525,0.217,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.361,0.424,,,,,,,,,,,,,
0072x2,0.197,0.51,0.153,0.736842105263158,0.736842105263158,0.736842105263158,0.374,1.488,0.369,,,,,,,,,,,,,
0073x2,0.184,0.48,0.172,0.736842105263158,0.736842105263158,0.736842105263158,0.385,1.526,0.318,,,,,,,,,,,,,
0074x2,0.209,0.454,0.227,0.736842105263158,0.736842105263158,0.736842105263158,0.381,1.315,0.328,,,,,,,,,,,,,
0075x2,0.224,0.488,0.299,0.736842105263158,0.736842105263158,0.736842105263158,0.38,1.39,0.338,,,,,,,,,,,,,
0076x2,0.193,0.522,0.206,0.736842105263158,0.736842105263158,0.736842105263158,0.381,1.517,0.367,,,,,,,,,,,,,
0077x2,0.196,0.531,0.218,0.736842105263158,0.736842105263158,0.736842105263158,0.386,1.504,0.382,,,,,,,,,,,,,
0078x2,0.269,0.538,0.299,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.479,0.414,,,,,,,,,,,,,
0079x2,0.184,0.51,0.196,0.736842105263158,0.736842105263158,0.736842105263158,0.381,1.505,0.385,,,,,,,,,,,,,
0080x2,0.177,0.52,0.206,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.453,0.376,,,,,,,,,,,,,
0081x2,0.244,0.511,0.339,0.736842105263158,0.736842105263158,0.736842105263158,0.387,1.531,0.345,,,,,,,,,,,,,
0082x2,0.188,0.532,0.212,0.736842105263158,0.736842105263158,0.736842105263158,0.414,1.456,0.408,,,,,,,,,,,,,
0083x2,0.254,0.544,0.318,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.362,0.43,,,,,,,,,,,,,
0084x2,0.248,0.509,0.259,0.736842105263158,0.736842105263158,0.736842105263158,0.381,1.507,0.357,,,,,,,,,,,,,
0085x2,0.215,0.523,0.268,0.736842105263158,0.736842105263158,0.736842105263158,0.388,1.464,0.395,,,,,,,,,,,,,
0086x2,0.195,0.501,0.198,0.736842105263158,0.736842105263158,0.736842105263158,0.394,1.505,0.358,,,,,,,,,,,,,
0087x2,0.193,0.542,0.234,0.736842105263158,0.736842105263158,0.736842105263158,0.37,1.45,0.386,,,,,,,,,,,,,
0088x2,0.228,0.503,0.257,0.736842105263158,0.736842105263158,0.736842105263158,0.398,1.542,0.354,,,,,,,,,,,,,
0089x2,0.215,0.49,0.267,0.736842105263158,0.736842105263158,0.736842105263158,0.405,1.422,0.388,,,,,,,,,,,,,
0090x2,0.198,0.499,0.208,0.736842105263158,0.736842105263158,0.736842105263158,0.386,1.415,0.378,,,,,,,,,,,,,
0091x2,0.206,0.528,0.215,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.466,0.381,,,,,,,,,,,,,
0092x2,0.19,0.51,0.236,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.47,0.367,,,,,,,,,,,,,
0093x2,0.201,0.517,0.165,0.736842105263158,0.736842105263158,0.736842105263158,0.373,1.465,0.335,,,,,,,,,,,,,
0094x2,0.163,0.525,0.152,0.736842105263158,0.736842105263158,0.736842105263158,0.386,1.435,0.377,,,,,,,,,,,,,
0095x2,0.229,0.503,0.234,0.736842105263158,0.736842105263158,0.736842105263158,0.388,1.474,0.356,,,,,,,,,,,,,
0096x2,0.237,0.501,0.279,0.736842105263158,0.736842105263158,0.736842105263158,0.389,1.471,0.364,,,,,,,,,,,,,
0097x2,0.197,0.491,0.188,0.736842105263158,0.736842105263158,0.736842105263158,0.398,1.521,0.338,,,,,,,,,,,,,
0098x2,0.2,0.549,0.236,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.601,0.403,,,,,,,,,,,,,
0099x2,0.222,0.544,0.252,0.736842105263158,0.736842105263158,0.736842105263158,0.392,1.521,0.402,,,,,,,,,,,,,
0100x2,0.196,0.524,0.217,0.736842105263158,0.736842105263158,0.736842105263158,0.386,1.508,0.399,,,,,,,,,,,,,
0101x2,0.197,0.538,0.218,0.736842105263158,0.736842105263158,0.736842105263158,0.411,1.646,0.382,,,,,,,,,,,,,
0102x2,0.27,0.529,0.263,0.736842105263158,0.736842105263158,0.736842105263158,0.374,1.392,0.402,,,,,,,,,,,,,
0103x2,0.208,0.525,0.232,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.412,0.42,,,,,,,,,,,,,
0104x2,0.21,0.528,0.237,0.736842105263158,0.736842105263158,0.736842105263158,0.382,1.446,0.367,,,,,,,,,,,,,
0105x2,0.199,0.516,0.201,0.736842105263158,0.736842105263158,0.736842105263158,0.37,1.425,0.383,,,,,,,,,,,,,
0106x2,0.186,0.509,0.167,0.736842105263158,0.736842105263158,0.736842105263158,0.391,1.511,0.346,,,,,,,,,,,,,
0107x2,0.194,0.469,0.203,0.736842105263158,0.736842105263158,0.736842105263158,0.356,1.38,0.309,,,,,,,,,,,,,
0108x2,0.247,0.546,0.28,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.537,0.382,,,,,,,,,,,,,
0109x2,0.241,0.525,0.264,0.736842105263158,0.736842105263158,0.736842105263158,0.388,1.474,0.398,,,,,,,,,,,,,
0110x2,0.252,0.549,0.307,0.736842105263158,0.736842105263158,0.736842105263158,0.392,1.486,0.424,,,,,,,,,,,,,
0111x2,0.187,0.512,0.211,0.736842105263158,0.736842105263158,0.736842105263158,0.386,1.464,0.374,,,,,,,,,,,,,
0112x2,0.194,0.482,0.226,0.736842105263158,0.736842105263158,0.736842105263158,0.374,1.35,0.382,,,,,,,,,,,,,
0113x2,0.231,0.519,0.255,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.539,0.361,,,,,,,,,,,,,
0114x2,0.211,0.486,0.273,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.319,0.376,,,,,,,,,,,,,
0115x2,0.199,0.539,0.227,0.736842105263158,0.736842105263158,0.736842105263158,0.406,1.641,0.394,,,,,,,,,,,,,
0116x2,0.207,0.515,0.243,0.736842105263158,0.736842105263158,0.736842105263158,0.392,1.46,0.376,,,,,,,,,,,,,
0117x2,0.214,0.495,0.211,0.736842105263158,0.736842105263158,0.736842105263158,0.399,1.533,0.333,,,,,,,,,,,,,
0118x2,0.207,0.544,0.239,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.48,0.389,,,,,,,,,,,,,
0119x2,0.172,0.473,0.194,0.736842105263158,0.736842105263158,0.736842105263158,0.371,1.346,0.372,,,,,,,,,,,,,
0120x2,0.201,0.529,0.224,0.736842105263158,0.736842105263158,0.736842105263158,0.405,1.481,0.425,,,,,,,,,,,,,
0121x2,0.206,0.538,0.262,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.482,0.409,,,,,,,,,,,,,
0122x2,0.242,0.51,0.276,0.736842105263158,0.736842105263158,0.736842105263158,0.371,1.365,0.426,,,,,,,,,,,,,
0123x2,0.201,0.555,0.254,0.736842105263158,0.736842105263158,0.736842105263158,0.398,1.582,0.391,,,,,,,,,,,,,
0124x2,0.21,0.484,0.235,0.736842105263158,0.736842105263158,0.736842105263158,0.388,1.364,0.391,,,,,,,,,,,,,
0125x2,0.212,0.501,0.236,0.736842105263158,0.736842105263158,0.736842105263158,0.38,1.457,0.367,,,,,,,,,,,,,
0126x2,0.236,0.557,0.245,0.736842105263158,0.736842105263158,0.736842105263158,0.401,1.533,0.361,,,,,,,,,,,,,
0127x2,0.209,0.532,0.247,0.736842105263158,0.736842105263158,0.736842105263158,0.385,1.5,0.394,,,,,,,,,,,,,
0128x2,0.19,0.508,0.179,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.464,0.373,,,,,,,,,,,,,
0129x2,0.209,0.534,0.26,0.736842105263158,0.736842105263158,0.736842105263158,0.371,1.414,0.419,,,,,,,,,,,,,
0130x2,0.232,0.493,0.262,0.736842105263158,0.736842105263158,0.736842105263158,0.377,1.484,0.381,,,,,,,,,,,,,
0131x2,0.178,0.516,0.226,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.482,0.375,,,,,,,,,,,,,
0132x2,0.198,0.511,0.213,0.736842105263158,0.736842105263158,0.736842105263158,0.364,1.481,0.432,,,,,,,,,,,,,
0133x2,0.206,0.527,0.256,0.736842105263158,0.736842105263158,0.736842105263158,0.398,1.498,0.39,,,,,,,,,,,,,
0134x2,0.204,0.522,0.218,0.736842105263158,0.736842105263158,0.736842105263158,0.377,1.483,0.369,,,,,,,,,,,,,
0135x2,0.194,0.539,0.212,0.736842105263158,0.736842105263158,0.736842105263158,0.399,1.507,0.38,,,,,,,,,,,,,
0136x2,0.201,0.533,0.216,0.736842105263158,0.736842105263158,0.736842105263158,0.394,1.486,0.39,,,,,,,,,,,,,
0137x2,0.202,0.538,0.23,0.736842105263158,0.736842105263158,0.736842105263158,0.396,1.441,0.432,,,,,,,,,,,,,
0138x2,0.211,0.534,0.233,0.736842105263158,0.736842105263158,0.736842105263158,0.388,1.466,0.381,,,,,,,,,,,,,
0139x2,0.238,0.525,0.248,0.736842105263158,0.736842105263158,0.736842105263158,0.373,1.439,0.307,,,,,,,,,,,,,
0140x2,0.207,0.497,0.213,0.736842105263158,0.736842105263158,0.736842105263158,0.37,1.471,0.36,,,,,,,,,,,,,
0141x2,0.216,0.535,0.25,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.479,0.378,,,,,,,,,,,,,
0142x2,0.214,0.485,0.192,0.736842105263158,0.736842105263158,0.736842105263158,0.376,1.454,0.309,,,,,,,,,,,,,
0143x2,0.194,0.551,0.239,0.736842105263158,0.736842105263158,0.736842105263158,0.404,1.477,0.438,,,,,,,,,,,,,
0144x2,0.22,0.552,0.332,0.736842105263158,0.736842105263158,0.736842105263158,0.41,1.527,0.429,,,,,,,,,,,,,
0145x2,0.114,0.409,0.181,0.736842105263158,0.736842105263158,0.736842105263158,0.378,1.511,0.266,,,,,,,,,,,,,
0146x2,0.177,0.498,0.201,0.736842105263158,0.736842105263158,0.736842105263158,0.38,1.501,0.35,,,,,,,,,,,,,
0147x2,0.203,0.531,0.238,0.736842105263158,0.736842105263158,0.736842105263158,0.402,1.519,0.372,,,,,,,,,,,,,
0148x2,0.23,0.496,0.266,0.736842105263158,0.736842105263158,0.736842105263158,0.397,1.504,0.353,,,,,,,,,,,,,
0149x2,0.209,0.526,0.211,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.526,0.346,,,,,,,,,,,,,
0150x2,0.187,0.466,0.21,0.736842105263158,0.736842105263158,0.736842105263158,0.382,1.249,0.396,,,,,,,,,,,,,
0151x2,0.2,0.546,0.251,0.736842105263158,0.736842105263158,0.736842105263158,0.414,1.377,0.444,,,,,,,,,,,,,
0152x2,0.221,0.536,0.245,0.736842105263158,0.736842105263158,0.736842105263158,0.396,1.469,0.403,,,,,,,,,,,,,
0153x2,0.193,0.516,0.186,0.736842105263158,0.736842105263158,0.736842105263158,0.393,1.487,0.369,,,,,,,,,,,,,
0154x2,0.218,0.529,0.214,0.736842105263158,0.736842105263158,0.736842105263158,0.402,1.483,0.385,,,,,,,,,,,,,
0155x2,0.194,0.559,0.158,0.736842105263158,0.736842105263158,0.736842105263158,0.402,1.654,0.351,,,,,,,,,,,,,
0156x2,0.184,0.516,0.194,0.736842105263158,0.736842105263158,0.736842105263158,0.389,1.469,0.38,,,,,,,,,,,,,
0157x2,0.213,0.54,0.263,0.736842105263158,0.736842105263158,0.736842105263158,0.386,1.48,0.411,,,,,,,,,,,,,
0158x2,0.188,0.484,0.159,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.443,0.331,,,,,,,,,,,,,
0159x2,0.197,0.497,0.209,0.736842105263158,0.736842105263158,0.736842105263158,0.389,1.443,0.374,,,,,,,,,,,,,
0160x2,0.2,0.525,0.205,0.736842105263158,0.736842105263158,0.736842105263158,0.389,1.448,0.354,,,,,,,,,,,,,
0161x2,0.182,0.49,0.233,0.736842105263158,0.736842105263158,0.736842105263158,0.385,1.447,0.352,,,,,,,,,,,,,
0162x2,0.178,0.509,0.221,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.364,0.41,,,,,,,,,,,,,
0163x2,0.21,0.515,0.215,0.736842105263158,0.736842105263158,0.736842105263158,0.381,1.485,0.353,,,,,,,,,,,,,
0164x2,0.2,0.539,0.236,0.736842105263158,0.736842105263158,0.736842105263158,0.388,1.506,0.39,,,,,,,,,,,,,
0165x2,0.214,0.539,0.269,0.736842105263158,0.736842105263158,0.736842105263158,0.375,1.467,0.404,,,,,,,,,,,,,
0166x2,0.223,0.518,0.284,0.736842105263158,0.736842105263158,0.736842105263158,0.398,1.462,0.393,,,,,,,,,,,,,
0167x2,0.206,0.489,0.223,0.736842105263158,0.736842105263158,0.736842105263158,0.391,1.367,0.372,,,,,,,,,,,,,
0168x2,0.184,0.521,0.211,0.736842105263158,0.736842105263158,0.736842105263158,0.388,1.445,0.392,,,,,,,,,,,,,
0169x2,0.22,0.543,0.216,0.736842105263158,0.736842105263158,0.736842105263158,0.392,1.457,0.396,,,,,,,,,,,,,
0170x2,0.135,0.502,0.164,0.736842105263158,0.736842105263158,0.736842105263158,0.364,1.443,0.358,,,,,,,,,,,,,
0171x2,0.243,0.511,0.263,0.736842105263158,0.736842105263158,0.736842105263158,0.382,1.536,0.333,,,,,,,,,,,,,
0172x2,0.183,0.521,0.279,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.504,0.387,,,,,,,,,,,,,
0173x2,0.193,0.52,0.192,0.736842105263158,0.736842105263158,0.736842105263158,0.397,1.487,0.395,,,,,,,,,,,,,
0174x2,0.115,0.483,0.136,0.736842105263158,0.736842105263158,0.736842105263158,0.348,1.435,0.323,,,,,,,,,,,,,
0175x2,0.183,0.525,0.182,0.736842105263158,0.736842105263158,0.736842105263158,0.401,1.347,0.408,,,,,,,,,,,,,
0176x2,0.203,0.536,0.213,0.736842105263158,0.736842105263158,0.736842105263158,0.413,1.645,0.371,,,,,,,,,,,,,
0177x2,0.22,0.532,0.246,0.736842105263158,0.736842105263158,0.736842105263158,0.376,1.459,0.397,,,,,,,,,,,,,
0178x2,0.201,0.508,0.25,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.409,0.37,,,,,,,,,,,,,
0179x2,0.195,0.534,0.22,0.736842105263158,0.736842105263158,0.736842105263158,0.38,1.462,0.405,,,,,,,,,,,,,
0180x2,0.206,0.534,0.257,0.736842105263158,0.736842105263158,0.736842105263158,0.377,1.456,0.383,,,,,,,,,,,,,
0181x2,0.228,0.567,0.304,0.736842105263158,0.736842105263158,0.736842105263158,0.389,1.551,0.398,,,,,,,,,,,,,
0182x2,0.143,0.526,0.172,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.489,0.391,,,,,,,,,,,,,
0183x2,0.198,0.514,0.225,0.736842105263158,0.736842105263158,0.736842105263158,0.389,1.457,0.358,,,,,,,,,,,,,
0184x2,0.199,0.511,0.187,0.736842105263158,0.736842105263158,0.736842105263158,0.385,1.473,0.403,,,,,,,,,,,,,
0185x2,0.196,0.519,0.231,0.736842105263158,0.736842105263158,0.736842105263158,0.385,1.425,0.402,,,,,,,,,,,,,
0186x2,0.195,0.516,0.213,0.736842105263158,0.736842105263158,0.736842105263158,0.39,1.515,0.363,,,,,,,,,,,,,
0187x2,0.224,0.538,0.249,0.736842105263158,0.736842105263158,0.736842105263158,0.394,1.476,0.414,,,,,,,,,,,,,
0188x2,0.188,0.543,0.204,0.736842105263158,0.736842105263158,0.736842105263158,0.408,1.554,0.41,,,,,,,,,,,,,
0189x2,0.148,0.47,0.17,0.736842105263158,0.736842105263158,0.736842105263158,0.37,1.45,0.329,,,,,,,,,,,,,
0190x2,0.119,0.539,0.136,0.736842105263158,0.736842105263158,0.736842105263158,0.394,1.492,0.409,,,,,,,,,,,,,
0191x2,0.217,0.516,0.252,0.736842105263158,0.736842105263158,0.736842105263158,0.392,1.407,0.4,,,,,,,,,,,,,
0192x2,0.244,0.538,0.27,0.736842105263158,0.736842105263158,0.736842105263158,0.392,1.415,0.379,,,,,,,,,,,,,
0193x2,0.217,0.527,0.251,0.736842105263158,0.736842105263158,0.736842105263158,0.396,1.45,0.391,,,,,,,,,,,,,
0194x2,0.198,0.537,0.221,0.736842105263158,0.736842105263158,0.736842105263158,0.395,1.481,0.406,,,,,,,,,,,,,
0195x2,0.2,0.531,0.228,0.736842105263158,0.736842105263158,0.736842105263158,0.384,1.452,0.397,,,,,,,,,,,,,
0196x2,0.194,0.516,0.205,0.736842105263158,0.736842105263158,0.736842105263158,0.376,1.432,0.384,,,,,,,,,,,,,
0197x2,0.192,0.518,0.24,0.736842105263158,0.736842105263158,0.736842105263158,0.397,1.417,0.402,,,,,,,,,,,,,
0198x2,0.194,0.542,0.239,0.736842105263158,0.736842105263158,0.736842105263158,0.38,1.511,0.394,,,,,,,,,,,,,
0199x2,0.213,0.554,0.246,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.569,0.403,,,,,,,,,,,,,
0200x2,0.252,0.56,0.336,0.736842105263158,0.736842105263158,0.736842105263158,0.396,1.51,0.416,,,,,,,,,,,,,
0201x2,0.191,0.498,0.213,0.736842105263158,0.736842105263158,0.736842105263158,0.377,1.469,0.302,,,,,,,,,,,,,
0202x2,0.203,0.532,0.2,0.736842105263158,0.736842105263158,0.736842105263158,0.402,1.455,0.428,,,,,,,,,,,,,
0203x2,0.204,0.518,0.229,0.736842105263158,0.736842105263158,0.736842105263158,0.339,1.371,0.375,,,,,,,,,,,,,
0204x2,0.207,0.496,0.245,0.736842105263158,0.736842105263158,0.736842105263158,0.378,1.403,0.35,,,,,,,,,,,,,
0205x2,,0.394,0.196,0.736842105263158,0.736842105263158,0.736842105263158,0.372,1.231,0.325,,,,,,,,,,,,,
0206x2,0.176,0.514,0.203,0.736842105263158,0.736842105263158,0.736842105263158,0.387,1.475,0.363,,,,,,,,,,,,,
0207x2,0.195,0.517,0.216,0.736842105263158,0.736842105263158,0.736842105263158,0.402,1.475,0.41,,,,,,,,,,,,,
0208x2,0.171,0.521,0.197,0.736842105263158,0.736842105263158,0.736842105263158,0.375,1.463,0.374,,,,,,,,,,,,,
