image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0001x3,1.056,0.772,0.413,0.736842105263158,0.736842105263158,0.736842105263158,1.512,2.002,0.782,,,,,DIV2K_train_LR_unknown_X3,1.02453,0.75412,0.489081453634085,0.734509991612931,0.736842105263158,0.736842105263158,1.51290625,2.05198,0.81664375
0002x3,1.109,0.759,0.516,0.736842105263158,0.736842105263158,0.736842105263158,1.599,2.005,0.811,,,,,,,,,,,,,,
0003x3,1.077,0.769,0.457,0.736842105263158,0.736842105263158,0.736842105263158,1.598,2.017,0.829,,,,,,,,,,,,,,
0004x3,1.075,0.749,0.549,0.736842105263158,0.736842105263158,0.736842105263158,1.564,2.033,0.814,,,,,,,,,,,,,,
0005x3,1.086,0.826,0.472,0.736842105263158,0.736842105263158,0.736842105263158,1.594,2.043,0.839,,,,,,,,,,,,,,
0006x3,1.094,0.781,0.516,0.736842105263158,0.736842105263158,0.736842105263158,1.534,2.118,0.84,,,,,,,,,,,,,,
0007x3,0.91,0.737,0.421,0.736842105263158,0.736842105263158,0.736842105263158,1.494,2.042,0.83,,,,,,,,,,,,,,
0008x3,1.087,0.763,0.538,0.736842105263158,0.736842105263158,0.736842105263158,1.639,2.09,0.845,,,,,,,,,,,,,,
0009x3,1.049,0.748,0.588,0.736842105263158,0.736842105263158,0.736842105263158,1.571,2.118,0.821,,,,,,,,,,,,,,
0010x3,1.091,0.816,0.518,0.736842105263158,0.736842105263158,0.736842105263158,1.55,2.006,0.802,,,,,,,,,,,,,,
0011x3,0.983,0.743,0.538,0.736842105263158,0.736842105263158,0.736842105263158,1.616,2.249,0.85,,,,,,,,,,,,,,
0012x3,1.092,0.753,0.437,0.736842105263158,0.736842105263158,0.736842105263158,1.578,2.116,0.827,,,,,,,,,,,,,,
0013x3,1.102,0.773,0.492,0.736842105263158,0.736842105263158,0.736842105263158,1.545,2.017,0.788,,,,,,,,,,,,,,
0014x3,1.054,0.724,0.342,0.736842105263158,0.736842105263158,0.736842105263158,1.581,2.192,0.821,,,,,,,,,,,,,,
0015x3,0.839,0.704,0.492,0.736842105263158,0.736842105263158,0.736842105263158,1.409,2.168,0.866,,,,,,,,,,,,,,
0016x3,1.101,0.753,0.534,0.736842105263158,0.736842105263158,0.736842105263158,1.561,2.112,0.819,,,,,,,,,,,,,,
0017x3,0.868,0.717,0.465,0.736842105263158,0.736842105263158,0.736842105263158,1.48,2.171,0.846,,,,,,,,,,,,,,
0018x3,1.064,0.752,0.431,0.736842105263158,0.736842105263158,0.736842105263158,1.507,2.038,0.785,,,,,,,,,,,,,,
0019x3,1.082,0.779,0.42,0.736842105263158,0.736842105263158,0.736842105263158,1.517,2.045,0.808,,,,,,,,,,,,,,
0020x3,1.087,0.777,0.495,0.736842105263158,0.736842105263158,0.736842105263158,1.533,1.983,0.797,,,,,,,,,,,,,,
0021x3,0.747,0.637,0.31,0.736842105263158,0.736842105263158,0.736842105263158,1.556,2.236,0.825,,,,,,,,,,,,,,
0022x3,0.699,0.638,0.363,0.736842105263158,0.736842105263158,0.736842105263158,1.437,2.189,0.774,,,,,,,,,,,,,,
0023x3,1.066,0.746,0.412,0.736842105263158,0.736842105263158,0.736842105263158,1.557,2.1,0.821,,,,,,,,,,,,,,
0024x3,1.101,0.806,0.674,0.736842105263158,0.736842105263158,0.736842105263158,1.54,2.053,0.781,,,,,,,,,,,,,,
0025x3,1.048,0.772,0.48,0.736842105263158,0.736842105263158,0.736842105263158,1.433,2.131,0.795,,,,,,,,,,,,,,
0026x3,1.02,0.788,0.437,0.736842105263158,0.736842105263158,0.736842105263158,1.601,2.039,0.781,,,,,,,,,,,,,,
0027x3,1.105,0.774,0.48,0.736842105263158,0.736842105263158,0.736842105263158,1.596,2.075,0.809,,,,,,,,,,,,,,
0028x3,1.117,0.8,0.569,0.736842105263158,0.736842105263158,0.736842105263158,1.595,2.018,0.786,,,,,,,,,,,,,,
0029x3,1.037,0.721,0.293,0.736842105263158,0.736842105263158,0.736842105263158,1.472,2.006,0.812,,,,,,,,,,,,,,
0030x3,0.922,0.725,0.556,0.736842105263158,0.736842105263158,0.736842105263158,1.489,2.158,0.858,,,,,,,,,,,,,,
0031x3,1.076,0.784,0.557,0.736842105263158,0.736842105263158,0.736842105263158,1.535,2.009,0.835,,,,,,,,,,,,,,
0032x3,1.086,0.763,0.537,0.736842105263158,0.736842105263158,0.736842105263158,1.553,2.118,0.852,,,,,,,,,,,,,,
0033x3,1.093,0.751,0.474,0.736842105263158,0.736842105263158,0.736842105263158,1.604,2.104,0.841,,,,,,,,,,,,,,
0034x3,1.06,0.774,0.397,0.736842105263158,0.736842105263158,0.736842105263158,1.488,1.989,0.774,,,,,,,,,,,,,,
0035x3,1.046,0.724,0.424,0.736842105263158,0.736842105263158,0.736842105263158,1.567,2.204,0.866,,,,,,,,,,,,,,
0036x3,1.086,0.798,0.556,0.736842105263158,0.736842105263158,0.736842105263158,1.487,2.002,0.834,,,,,,,,,,,,,,
0037x3,1.097,0.8,0.612,0.736842105263158,0.736842105263158,0.736842105263158,1.504,1.999,0.833,,,,,,,,,,,,,,
0038x3,0.958,0.755,0.37,0.736842105263158,0.736842105263158,0.736842105263158,1.484,2.037,0.774,,,,,,,,,,,,,,
0039x3,1.007,0.718,0.43,0.736842105263158,0.736842105263158,0.736842105263158,1.54,2.109,0.839,,,,,,,,,,,,,,
0040x3,1.165,0.798,0.644,0.736842105263158,0.736842105263158,0.736842105263158,1.557,2.023,0.818,,,,,,,,,,,,,,
0041x3,1.04,0.771,0.466,0.736842105263158,0.736842105263158,0.736842105263158,1.519,2.004,0.834,,,,,,,,,,,,,,
0042x3,1.038,0.765,0.445,0.736842105263158,0.736842105263158,0.736842105263158,1.523,1.99,0.832,,,,,,,,,,,,,,
0043x3,1.093,0.794,0.53,0.736842105263158,0.736842105263158,0.736842105263158,1.532,1.93,0.783,,,,,,,,,,,,,,
0044x3,1.109,0.844,0.65,0.736842105263158,0.736842105263158,0.736842105263158,1.553,1.926,0.816,,,,,,,,,,,,,,
0045x3,0.843,0.676,0.47,0.736842105263158,0.736842105263158,0.736842105263158,1.571,2.3,0.868,,,,,,,,,,,,,,
0046x3,1.084,0.769,0.418,0.736842105263158,0.736842105263158,0.736842105263158,1.499,2.175,0.841,,,,,,,,,,,,,,
0047x3,1.09,0.772,0.497,0.736842105263158,0.736842105263158,0.736842105263158,1.486,2.023,0.817,,,,,,,,,,,,,,
0048x3,1.094,0.77,0.448,0.736842105263158,0.736842105263158,0.736842105263158,1.512,2.027,0.822,,,,,,,,,,,,,,
0049x3,1.026,0.718,0.448,0.736842105263158,0.736842105263158,0.736842105263158,1.631,2.13,0.809,,,,,,,,,,,,,,
0050x3,1.091,0.777,0.518,0.736842105263158,0.736842105263158,0.736842105263158,1.531,1.99,0.832,,,,,,,,,,,,,,
0051x3,1.052,0.762,0.428,0.736842105263158,0.736842105263158,0.736842105263158,1.516,2.077,0.855,,,,,,,,,,,,,,
0052x3,1.014,0.819,0.804,0.736842105263158,0.736842105263158,0.736842105263158,1.466,1.999,0.754,,,,,,,,,,,,,,
0053x3,0.949,0.716,0.438,0.736842105263158,0.736842105263158,0.736842105263158,1.541,2.163,0.835,,,,,,,,,,,,,,
0054x3,1.049,0.763,0.432,0.736842105263158,0.736842105263158,0.736842105263158,1.529,1.999,0.795,,,,,,,,,,,,,,
0055x3,1.028,0.765,0.568,0.736842105263158,0.736842105263158,0.736842105263158,1.499,2.055,0.813,,,,,,,,,,,,,,
0056x3,1.049,0.713,0.373,0.736842105263158,0.736842105263158,0.736842105263158,1.6,2.153,0.807,,,,,,,,,,,,,,
0057x3,1.09,0.753,0.512,0.736842105263158,0.736842105263158,0.736842105263158,1.559,2.067,0.806,,,,,,,,,,,,,,
0058x3,1.102,0.784,0.531,0.736842105263158,0.736842105263158,0.736842105263158,1.529,2.072,0.833,,,,,,,,,,,,,,
0059x3,1.117,0.769,0.572,0.736842105263158,0.736842105263158,0.736842105263158,1.568,2.037,0.784,,,,,,,,,,,,,,
0060x3,0.967,0.729,0.428,0.736842105263158,0.736842105263158,0.736842105263158,1.605,2.165,0.814,,,,,,,,,,,,,,
0061x3,1.03,0.762,0.354,0.736842105263158,0.736842105263158,0.736842105263158,1.454,2.077,0.809,,,,,,,,,,,,,,
0062x3,1.021,0.822,0.47,0.736842105263158,0.736842105263158,0.736842105263158,1.481,1.942,0.803,,,,,,,,,,,,,,
0063x3,0.797,0.723,0.21,0.736842105263158,0.736842105263158,0.736842105263158,1.38,1.979,0.709,,,,,,,,,,,,,,
0064x3,1.085,0.774,0.498,0.736842105263158,0.736842105263158,0.736842105263158,1.486,2.001,0.819,,,,,,,,,,,,,,
0065x3,1.141,0.765,0.586,0.736842105263158,0.736842105263158,0.736842105263158,1.51,2.042,0.799,,,,,,,,,,,,,,
0066x3,0.962,0.729,0.405,0.736842105263158,0.736842105263158,0.736842105263158,1.55,2.159,0.839,,,,,,,,,,,,,,
0067x3,1.075,0.783,0.52,0.736842105263158,0.736842105263158,0.736842105263158,1.502,1.993,0.809,,,,,,,,,,,,,,
0068x3,1.107,0.764,0.572,0.736842105263158,0.736842105263158,0.736842105263158,1.518,2.035,0.814,,,,,,,,,,,,,,
0069x3,0.895,0.756,0.493,0.736842105263158,0.736842105263158,0.736842105263158,1.356,2.095,0.804,,,,,,,,,,,,,,
0070x3,0.847,0.695,0.336,0.736842105263158,0.736842105263158,0.736842105263158,1.523,2.135,0.818,,,,,,,,,,,,,,
0071x3,1.06,0.828,0.565,0.736842105263158,0.736842105263158,0.736842105263158,1.543,2.036,0.82,,,,,,,,,,,,,,
0072x3,0.918,0.713,0.316,0.736842105263158,0.736842105263158,0.736842105263158,1.531,2.081,0.822,,,,,,,,,,,,,,
