image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0046x3,1.081,0.76,0.454,0.736842105263158,0.736842105263158,0.736842105263158,1.516,2.188,0.825,,,,,,,,,,,,,,
0047x3,1.097,0.774,0.496,0.736842105263158,0.736842105263158,0.736842105263158,1.495,2.035,0.831,,,,,,,,,,,,,,
0048x3,1.105,0.767,0.442,0.736842105263158,0.736842105263158,0.736842105263158,1.536,2.015,0.825,,,,,,,,,,,,,,
0049x3,1.009,0.719,0.414,0.736842105263158,0.736842105263158,0.736842105263158,1.609,2.155,0.804,,,,,,,,,,,,,,
0050x3,1.084,0.774,0.513,0.736842105263158,0.736842105263158,0.736842105263158,1.516,1.992,0.838,,,,,,,,,,,,,,
0051x3,1.056,0.745,0.42,0.736842105263158,0.736842105263158,0.736842105263158,1.521,2.079,0.86,,,,,,,,,,,,,,
0052x3,1.016,0.826,0.821,0.736842105263158,0.736842105263158,0.736842105263158,1.385,1.923,0.742,,,,,,,,,,,,,,
0053x3,0.928,0.712,0.406,0.736842105263158,0.736842105263158,0.736842105263158,1.542,2.139,0.817,,,,,,,,,,,,,,
0054x3,1.001,0.757,0.597,0.736842105263158,0.736842105263158,0.736842105263158,1.559,1.931,0.767,,,,,,,,,,,,,,
0055x3,0.995,0.761,0.57,0.736842105263158,0.736842105263158,0.736842105263158,1.459,2.053,0.823,,,,,,,,,,,,,,
0056x3,1.01,0.71,0.34,0.736842105263158,0.736842105263158,0.736842105263158,1.594,2.16,0.794,,,,,,,,,,,,,,
0057x3,1.087,0.75,0.496,0.736842105263158,0.736842105263158,0.736842105263158,1.531,2.083,0.811,,,,,,,,,,,,,,
0058x3,1.101,0.784,0.555,0.736842105263158,0.736842105263158,0.736842105263158,1.525,2.066,0.84,,,,,,,,,,,,,,
0059x3,1.122,0.772,0.564,0.736842105263158,0.736842105263158,0.736842105263158,1.532,2.058,0.77,,,,,,,,,,,,,,
0060x3,0.964,0.724,0.407,0.736842105263158,0.736842105263158,0.736842105263158,1.602,2.154,0.805,,,,,,,,,,,,,,
0061x3,1.063,0.756,0.456,0.736842105263158,0.736842105263158,0.736842105263158,1.404,2.006,0.779,,,,,,,,,,,,,,
0062x3,1.015,0.837,0.528,0.736842105263158,0.736842105263158,0.736842105263158,1.405,1.872,0.79,,,,,,,,,,,,,,
0063x3,0.77,0.693,0.34,0.349333558389586,0.736842105263158,0.736842105263158,1.319,1.982,0.695,,,,,,,,,,,,,,
0064x3,1.072,0.775,0.504,0.736842105263158,0.736842105263158,0.736842105263158,1.485,2.001,0.846,,,,,,,,,,,,,,
0065x3,1.078,0.785,0.697,0.736842105263158,0.736842105263158,0.736842105263158,1.489,1.969,0.736,,,,,,,,,,,,,,
0066x3,0.904,0.709,0.411,0.736842105263158,0.736842105263158,0.736842105263158,1.56,2.168,0.843,,,,,,,,,,,,,,
0067x3,1.076,0.785,0.518,0.736842105263158,0.736842105263158,0.736842105263158,1.485,1.981,0.79,,,,,,,,,,,,,,
0068x3,1.114,0.758,0.59,0.736842105263158,0.736842105263158,0.736842105263158,1.524,2.028,0.815,,,,,,,,,,,,,,
0069x3,0.877,0.748,0.449,0.736842105263158,0.736842105263158,0.736842105263158,1.402,2.039,0.768,,,,,,,,,,,,,,
0070x3,0.795,0.682,0.294,0.736842105263158,0.736842105263158,0.736842105263158,1.545,2.179,0.807,,,,,,,,,,,,,,
0071x3,1.056,0.823,0.544,0.736842105263158,0.736842105263158,0.736842105263158,1.529,2.059,0.827,,,,,,,,,,,,,,
0072x3,0.866,0.697,0.277,0.736842105263158,0.736842105263158,0.736842105263158,1.521,2.102,0.839,,,,,,,,,,,,,,
0073x3,0.788,0.67,0.344,0.736842105263158,0.736842105263158,0.736842105263158,1.564,2.256,0.904,,,,,,,,,,,,,,
0074x3,0.749,0.669,0.471,0.291693942907802,0.736842105263158,0.0594581107497034,1.308,1.969,0.712,,,,,,,,,,,,,,
0075x3,0.828,0.704,0.594,0.736842105263158,0.736842105263158,0.736842105263158,1.405,1.907,0.795,,,,,,,,,,,,,,
0076x3,0.956,0.752,0.463,0.736842105263158,0.736842105263158,0.736842105263158,1.513,2.034,0.809,,,,,,,,,,,,,,
0077x3,1.089,0.759,0.414,0.736842105263158,0.736842105263158,0.736842105263158,1.515,2.026,0.831,,,,,,,,,,,,,,
0078x3,1.178,0.822,0.743,0.736842105263158,0.736842105263158,0.736842105263158,1.528,1.867,0.804,,,,,,,,,,,,,,
0079x3,1.033,0.725,0.453,0.736842105263158,0.736842105263158,0.736842105263158,1.556,2.117,0.82,,,,,,,,,,,,,,
0080x3,0.989,0.734,0.439,0.736842105263158,0.736842105263158,0.736842105263158,1.587,2.108,0.818,,,,,,,,,,,,,,
0081x3,1.03,0.728,0.65,0.736842105263158,0.736842105263158,0.736842105263158,1.542,2.222,0.884,,,,,,,,,,,,,,
0082x3,1.076,0.779,0.446,0.736842105263158,0.736842105263158,0.736842105263158,1.507,2.055,0.846,,,,,,,,,,,,,,
0083x3,1.12,0.834,0.72,0.736842105263158,0.736842105263158,0.736842105263158,1.38,1.898,0.79,,,,,,,,,,,,,,
0084x3,0.96,0.721,0.519,0.736842105263158,0.736842105263158,0.736842105263158,1.614,2.181,0.829,,,,,,,,,,,,,,
0085x3,1.109,0.756,0.553,0.736842105263158,0.736842105263158,0.736842105263158,1.506,2.05,0.829,,,,,,,,,,,,,,
0086x3,0.953,0.705,0.43,0.736842105263158,0.736842105263158,0.736842105263158,1.608,2.198,0.857,,,,,,,,,,,,,,
0087x3,1.088,0.784,0.537,0.736842105263158,0.736842105263158,0.736842105263158,1.509,1.964,0.81,,,,,,,,,,,,,,
0088x3,0.878,0.705,0.51,0.736842105263158,0.736842105263158,0.736842105263158,1.567,2.219,0.849,,,,,,,,,,,,,,
0089x3,1.117,0.748,0.532,0.736842105263158,0.736842105263158,0.736842105263158,1.599,2.18,0.823,,,,,,,,,,,,,,
0090x3,0.909,0.717,0.408,0.736842105263158,0.736842105263158,0.736842105263158,1.46,2.063,0.804,,,,,,,,,,,,,,
0091x3,1.086,0.742,0.417,0.736842105263158,0.736842105263158,0.736842105263158,1.605,2.105,0.808,,,,,,,,,,,,,,
0092x3,0.952,0.714,0.442,0.736842105263158,0.736842105263158,0.736842105263158,1.534,2.15,0.831,,,,,,,,,,,,,,
0093x3,0.859,0.73,0.415,0.736842105263158,0.736842105263158,0.736842105263158,1.51,2.034,0.809,,,,,,,,,,,,,,
0094x3,1.025,0.767,0.332,0.736842105263158,0.736842105263158,0.736842105263158,1.498,2.016,0.807,,,,,,,,,,,,,,
0095x3,0.904,0.72,0.503,0.736842105263158,0.736842105263158,0.736842105263158,1.522,2.129,0.838,,,,,,,,,,,,,,
0096x3,0.939,0.724,0.591,0.736842105263158,0.736842105263158,0.736842105263158,1.461,2.046,0.838,,,,,,,,,,,,,,
0097x3,0.873,0.687,0.396,0.736842105263158,0.736842105263158,0.736842105263158,1.576,2.259,0.862,,,,,,,,,,,,,,
0098x3,1.1,0.815,0.578,0.736842105263158,0.736842105263158,0.736842105263158,1.561,1.923,0.823,,,,,,,,,,,,,,
0099x3,1.127,0.799,0.587,0.736842105263158,0.736842105263158,0.736842105263158,1.485,2.014,0.825,,,,,,,,,,,,,,
0100x3,1.053,0.758,0.476,0.736842105263158,0.736842105263158,0.736842105263158,1.515,2.074,0.883,,,,,,,,,,,,,,
0101x3,1.106,0.77,0.496,0.736842105263158,0.736842105263158,0.736842105263158,1.625,2.12,0.856,,,,,,,,,,,,,,
0102x3,1.161,0.792,0.582,0.736842105263158,0.736842105263158,0.736842105263158,1.417,1.955,0.844,,,,,,,,,,,,,,
0103x3,1.071,0.796,0.515,0.736842105263158,0.736842105263158,0.736842105263158,1.425,1.939,0.819,,,,,,,,,,,,,,
0104x3,1.117,0.744,0.425,0.736842105263158,0.736842105263158,0.736842105263158,1.573,2.102,0.75,,,,,,,,,,,,,,
0105x3,1.08,0.76,0.445,0.736842105263158,0.736842105263158,0.736842105263158,1.454,2.06,0.788,,,,,,,,,,,,,,
0106x3,0.882,0.688,0.373,0.736842105263158,0.736842105263158,0.736842105263158,1.585,2.213,0.831,,,,,,,,,,,,,,
0107x3,0.794,0.666,0.445,0.360230696079057,0.736842105263158,0.736842105263158,1.402,2.085,0.778,,,,,,,,,,,,,,
0108x3,1.185,0.773,0.547,0.736842105263158,0.736842105263158,0.736842105263158,1.6,2.065,0.815,,,,,,,,,,,,,,
0109x3,1.152,0.762,0.549,0.736842105263158,0.736842105263158,0.736842105263158,1.542,2.055,0.819,,,,,,,,,,,,,,
0110x3,1.15,0.812,0.698,0.736842105263158,0.736842105263158,0.736842105263158,1.47,1.926,0.812,,,,,,,,,,,,,,
0111x3,1.001,0.721,0.376,0.736842105263158,0.736842105263158,0.736842105263158,1.556,2.109,0.797,,,,,,,,,,,,,,
0112x3,1.094,0.765,0.486,0.736842105263158,0.736842105263158,0.736842105263158,1.528,2.038,0.805,,,,,,,,,,,,,,
0113x3,0.934,0.734,0.523,0.736842105263158,0.736842105263158,0.736842105263158,1.603,2.229,0.871,,,,,,,,,,,,,,
0114x3,0.184,0.411,0.256,0.736842105263158,0.736842105263158,0.736842105263158,0.36,1.178,0.301,,,,,,,,,,,,,,
0115x3,1.099,0.778,0.528,0.736842105263158,0.736842105263158,0.736842105263158,1.596,2.068,0.845,,,,,,,,,,,,,,
0116x3,0.99,0.748,0.508,0.736842105263158,0.736842105263158,0.736842105263158,1.527,2.095,0.823,,,,,,,,,,,,,,
0117x3,0.883,0.707,0.459,0.736842105263158,0.736842105263158,0.736842105263158,1.545,2.218,0.833,,,,,,,,,,,,,,
0118x3,1.094,0.778,0.539,0.736842105263158,0.736842105263158,0.736842105263158,1.517,1.967,0.814,,,,,,,,,,,,,,
0119x3,0.927,0.732,0.414,0.736842105263158,0.736842105263158,0.736842105263158,1.539,2.174,0.829,,,,,,,,,,,,,,
0120x3,1.077,0.782,0.485,0.736842105263158,0.736842105263158,0.736842105263158,1.537,2.009,0.84,,,,,,,,,,,,,,
0121x3,1.097,0.785,0.568,0.736842105263158,0.736842105263158,0.736842105263158,1.501,2.022,0.822,,,,,,,,,,,,,,
0122x3,1.117,0.784,0.626,0.736842105263158,0.736842105263158,0.736842105263158,1.539,1.972,0.779,,,,,,,,,,,,,,
0123x3,1.068,0.81,0.615,0.736842105263158,0.736842105263158,0.736842105263158,1.527,1.98,0.833,,,,,,,,,,,,,,
