image_number,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B,,,,,,Average,spa_R,spa_G,spa_B,triples_R,triples_G,triples_B,ws_R,ws_G,ws_B
0046x4,0.167,0.312,0.068,0.736842105263158,0.736842105263158,0.736842105263158,0.282,0.959,0.166,,,,,,,,,,,,,,,
0047x4,0.161,0.396,0.102,0.736842105263158,0.736842105263158,0.736842105263158,0.306,1.157,0.257,,,,,,,,,,,,,,,
0048x4,0.144,0.344,0.075,0.736842105263158,0.736842105263158,0.736842105263158,0.314,1.217,0.245,,,,,,,,,,,,,,,
0049x4,0.069,0.263,0.086,0.736842105263158,0.736842105263158,0.736842105263158,0.277,0.954,0.192,,,,,,,,,,,,,,,
0050x4,0.132,0.36,0.096,0.736842105263158,0.736842105263158,0.736842105263158,0.339,1.291,0.251,,,,,,,,,,,,,,,
0051x4,0.073,0.305,,0.736842105263158,0.736842105263158,0.736842105263158,0.329,1.183,0.232,,,,,,,,,,,,,,,
0052x4,0.381,0.567,0.499,0.223100179254724,0.736842105263158,0.736842105263158,0.281,1.127,0.19,,,,,,,,,,,,,,,
0053x4,0.086,0.248,0.094,0.736842105263158,0.736842105263158,0.736842105263158,0.275,0.821,0.199,,,,,,,,,,,,,,,
0054x4,0.195,0.391,0.17,0.736842105263158,0.736842105263158,0.736842105263158,0.299,1.114,0.187,,,,,,,,,,,,,,,
0055x4,0.168,0.363,0.195,0.736842105263158,0.736842105263158,0.736842105263158,0.312,1.148,0.208,,,,,,,,,,,,,,,
0056x4,0.074,0.245,,0.736842105263158,0.736842105263158,0.736842105263158,0.294,0.926,0.181,,,,,,,,,,,,,,,
0057x4,0.109,0.316,0.142,0.736842105263158,0.736842105263158,0.736842105263158,0.31,1.16,0.194,,,,,,,,,,,,,,,
0058x4,0.154,0.367,0.157,0.736842105263158,0.736842105263158,0.736842105263158,0.3,1.25,0.24,,,,,,,,,,,,,,,
0059x4,0.215,0.357,0.194,0.736842105263158,0.736842105263158,0.736842105263158,0.307,1.027,0.229,,,,,,,,,,,,,,,
0060x4,0.148,0.285,0.092,0.736842105263158,0.736842105263158,0.736842105263158,0.271,0.915,0.181,,,,,,,,,,,,,,,
0061x4,0.137,0.3,0.086,0.736842105263158,0.736842105263158,0.736842105263158,0.233,0.956,0.118,,,,,,,,,,,,,,,
0062x4,0.101,0.428,0.071,0.736842105263158,0.736842105263158,0.736842105263158,0.345,1.458,0.275,,,,,,,,,,,,,,,
0063x4,0.097,0.29,0.052,0.250086142588512,,0.0687852396051683,0.13,0.76,,,,,,,,,,,,,,,,
0064x4,0.12,0.367,0.132,0.736842105263158,0.736842105263158,0.736842105263158,0.314,1.279,0.244,,,,,,,,,,,,,,,
0065x4,0.256,0.419,0.286,0.736842105263158,0.736842105263158,0.736842105263158,0.308,1.231,0.194,,,,,,,,,,,,,,,
0066x4,0.11,0.306,,0.736842105263158,0.736842105263158,0.736842105263158,0.296,0.972,0.165,,,,,,,,,,,,,,,
0067x4,0.142,0.37,0.123,0.736842105263158,0.736842105263158,0.736842105263158,0.333,1.257,0.224,,,,,,,,,,,,,,,
0068x4,0.176,0.375,0.192,0.736842105263158,0.736842105263158,0.736842105263158,0.309,1.178,0.245,,,,,,,,,,,,,,,
0069x4,0.091,0.294,0.085,0.736842105263158,0.736842105263158,0.736842105263158,0.256,0.978,0.133,,,,,,,,,,,,,,,
0070x4,,0.23,,0.736842105263158,0.736842105263158,0.736842105263158,0.251,0.903,0.176,,,,,,,,,,,,,,,
0071x4,0.164,0.374,0.09,0.736842105263158,0.736842105263158,0.736842105263158,0.348,1.233,0.253,,,,,,,,,,,,,,,
0072x4,,0.213,,0.736842105263158,0.736842105263158,0.736842105263158,0.264,0.997,0.194,,,,,,,,,,,,,,,
0073x4,0.055,0.175,,0.360714908073321,0.736842105263158,0.736842105263158,0.245,0.679,0.128,,,,,,,,,,,,,,,
0074x4,0.208,0.331,0.204,0.166625530963779,,,0.224,0.864,0.132,,,,,,,,,,,,,,,
0075x4,0.179,0.377,0.321,0.266835397252528,0.736842105263158,0.736842105263158,0.255,0.999,0.262,,,,,,,,,,,,,,,
0076x4,0.114,0.343,0.083,0.736842105263158,0.736842105263158,0.736842105263158,0.273,1.074,0.215,,,,,,,,,,,,,,,
0077x4,0.128,0.316,0.052,0.736842105263158,0.736842105263158,0.736842105263158,0.307,1.163,0.233,,,,,,,,,,,,,,,
0078x4,0.317,0.45,0.313,0.736842105263158,0.736842105263158,0.736842105263158,0.442,1.422,0.218,,,,,,,,,,,,,,,
0079x4,,0.265,0.062,0.736842105263158,0.736842105263158,0.736842105263158,0.295,1.069,0.229,,,,,,,,,,,,,,,
0080x4,0.082,0.286,0.109,0.736842105263158,0.736842105263158,0.736842105263158,0.287,1.029,0.185,,,,,,,,,,,,,,,
0081x4,0.239,0.311,0.338,0.736842105263158,0.736842105263158,0.736842105263158,0.295,0.815,0.19,,,,,,,,,,,,,,,
0082x4,0.098,0.333,0.079,0.736842105263158,0.736842105263158,0.736842105263158,0.308,1.312,0.237,,,,,,,,,,,,,,,
0083x4,0.237,0.46,0.256,0.736842105263158,0.736842105263158,0.736842105263158,0.378,1.498,0.229,,,,,,,,,,,,,,,
0084x4,0.168,0.281,0.208,0.736842105263158,0.736842105263158,0.736842105263158,0.26,0.887,0.186,,,,,,,,,,,,,,,
0085x4,0.144,0.339,0.203,0.736842105263158,0.736842105263158,0.736842105263158,0.319,1.147,0.233,,,,,,,,,,,,,,,
0086x4,0.132,0.271,0.087,0.736842105263158,0.736842105263158,0.736842105263158,0.296,0.918,0.201,,,,,,,,,,,,,,,
0087x4,0.132,0.38,0.135,0.736842105263158,0.736842105263158,0.736842105263158,0.334,1.244,0.257,,,,,,,,,,,,,,,
0088x4,0.16,0.269,0.193,0.344026969340549,0.736842105263158,0.736842105263158,0.259,0.883,0.158,,,,,,,,,,,,,,,
0089x4,0.162,0.239,0.16,0.736842105263158,0.736842105263158,0.736842105263158,0.348,0.948,0.193,,,,,,,,,,,,,,,
0090x4,0.087,0.305,0.118,0.736842105263158,0.736842105263158,0.736842105263158,0.291,1.151,0.214,,,,,,,,,,,,,,,
0091x4,0.079,0.277,0.058,0.736842105263158,0.736842105263158,0.736842105263158,0.313,1.071,0.211,,,,,,,,,,,,,,,
0092x4,0.082,0.279,0.116,0.736842105263158,0.736842105263158,0.736842105263158,0.286,0.956,0.187,,,,,,,,,,,,,,,
0093x4,0.14,0.318,0.058,0.319934313916405,0.736842105263158,0.736842105263158,0.291,1.051,0.203,,,,,,,,,,,,,,,
0094x4,0.065,0.318,,0.736842105263158,0.736842105263158,0.736842105263158,0.312,1.244,0.197,,,,,,,,,,,,,,,
0095x4,0.173,0.308,0.15,0.736842105263158,0.736842105263158,0.736842105263158,0.276,0.928,0.183,,,,,,,,,,,,,,,
0096x4,0.174,0.324,0.271,0.736842105263158,0.736842105263158,0.736842105263158,0.28,1.022,0.179,,,,,,,,,,,,,,,
0097x4,0.08,0.216,,0.736842105263158,0.736842105263158,0.736842105263158,0.24,0.69,0.14,,,,,,,,,,,,,,,
0098x4,0.202,0.415,0.151,0.736842105263158,0.736842105263158,0.736842105263158,0.347,1.408,0.25,,,,,,,,,,,,,,,
0099x4,0.211,0.407,0.18,0.736842105263158,0.736842105263158,0.736842105263158,0.303,1.298,0.227,,,,,,,,,,,,,,,
0100x4,0.094,0.335,0.1,0.736842105263158,0.736842105263158,0.736842105263158,0.329,1.261,0.23,,,,,,,,,,,,,,,
0101x4,0.142,0.349,0.104,0.736842105263158,0.736842105263158,0.736842105263158,0.322,1.165,0.26,,,,,,,,,,,,,,,
0102x4,0.241,0.395,0.146,0.736842105263158,0.736842105263158,0.736842105263158,0.383,1.365,0.223,,,,,,,,,,,,,,,
0103x4,0.148,0.368,0.096,0.736842105263158,0.736842105263158,0.736842105263158,0.364,1.403,0.231,,,,,,,,,,,,,,,
0104x4,0.108,0.291,0.137,0.736842105263158,0.736842105263158,0.736842105263158,0.265,1.007,0.203,,,,,,,,,,,,,,,
0105x4,0.177,0.356,0.082,0.736842105263158,0.736842105263158,0.736842105263158,0.32,1.142,0.18,,,,,,,,,,,,,,,
0106x4,0.066,0.211,0.057,0.736842105263158,0.736842105263158,0.736842105263158,0.286,0.841,0.162,,,,,,,,,,,,,,,
0107x4,0.194,0.309,0.131,0.252386940822821,0.736842105263158,0.736842105263158,0.196,0.758,0.128,,,,,,,,,,,,,,,
0108x4,0.224,0.37,0.16,0.736842105263158,0.736842105263158,0.736842105263158,0.333,1.079,0.194,,,,,,,,,,,,,,,
0109x4,0.204,0.35,0.161,0.736842105263158,0.736842105263158,0.736842105263158,0.317,1.16,0.209,,,,,,,,,,,,,,,
0110x4,0.252,0.476,0.296,0.736842105263158,0.736842105263158,0.736842105263158,0.346,1.412,0.292,,,,,,,,,,,,,,,
0111x4,0.062,0.242,0.056,0.736842105263158,0.736842105263158,0.736842105263158,0.28,0.944,0.201,,,,,,,,,,,,,,,
0112x4,0.146,0.328,0.119,0.736842105263158,0.736842105263158,0.736842105263158,0.328,1.054,0.246,,,,,,,,,,,,,,,
0113x4,0.184,0.316,0.174,0.360139723059937,0.736842105263158,0.736842105263158,0.272,0.877,0.189,,,,,,,,,,,,,,,
0114x4,0.138,0.34,0.222,0.736842105263158,0.736842105263158,0.736842105263158,0.315,1.066,0.23,,,,,,,,,,,,,,,
0115x4,0.155,0.38,0.132,0.736842105263158,0.736842105263158,0.736842105263158,0.335,1.226,0.279,,,,,,,,,,,,,,,
0116x4,0.141,0.31,0.139,0.736842105263158,0.736842105263158,0.736842105263158,0.284,1.063,0.195,,,,,,,,,,,,,,,
0117x4,0.209,0.288,0.137,0.736842105263158,0.736842105263158,0.736842105263158,0.282,0.787,0.163,,,,,,,,,,,,,,,
